Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards
P.A. Parenteau,32,TOR,RW,77,20,21,41,0,68,13,7,0,3,17,4,0,168,11.9,313,1251:56,16:16,4,14,22.2,26,48,29,27,
Mathieu Perreault,28,WPG,C,71,9,32,41,-11,36,3,6,0,1,23,9,0,133,6.8,258,1174:59,16:33,94,109,46.3,33,83,31,26,
Rasmus Ristolainen,21,BUF,D,82,9,32,41,-21,33,5,4,0,1,15,17,0,202,4.5,396,2073:01,25:17,0,0,,137,139,20,48,
Thomas Vanek,32,MIN,LW,74,18,23,41,-10,22,12,6,0,5,15,8,0,146,12.3,248,1155:09,15:37,12,26,31.6,17,18,22,51,
Jason Chimera,36,WSH,LW,82,20,20,40,0,22,14,4,2,3,15,5,0,165,12.1,253,1152:09,14:03,8,20,28.6,13,103,15,32,
Brendan Gallagher,23,MTL,RW,53,19,21,40,13,24,12,7,0,0,18,3,0,173,11.0,275,878:32,16:35,12,17,41.4,25,43,30,14,
Bo Horvat,20,VAN,C,82,16,24,40,-30,18,12,4,0,4,16,8,0,155,10.3,245,1404:51,17:08,760,733,50.9,53,69,27,17,
Alex Killorn,26,TBL,C,81,14,26,40,14,44,11,3,0,3,22,3,1,154,9.1,278,1360:25,16:48,31,49,38.8,23,76,31,46,
Chris Kunitz,36,PIT,LW,80,17,23,40,29,41,15,2,0,1,19,4,0,150,11.3,279,1345:58,16:49,5,6,45.5,33,264,33,43,Selke-29
Nick Leddy,24,NYI,D,81,5,35,40,-9,25,2,3,0,1,19,16,0,121,4.1,264,1832:09,22:37,0,0,,87,83,40,52,
Jake Muzzin,26,LAK,D,82,8,32,40,7,64,7,1,0,1,19,12,1,203,3.9,447,1891:00,23:04,0,0,,135,197,13,68,"ASnhl-21,Norris-20"
Brock Nelson,24,NYI,LW,81,26,14,40,-3,30,23,3,0,3,12,2,0,165,15.8,293,1280:04,15:48,186,202,47.9,50,59,48,24,
Ondřej Palát,24,TBL,LW,62,16,24,40,10,20,13,1,2,4,17,6,1,117,13.7,214,1110:59,17:55,2,6,25.0,39,108,32,31,Selke-29
Alexander Wennberg,21,CBJ,C,69,8,32,40,-1,2,7,1,0,1,21,11,0,97,8.2,170,1094:23,15:52,400,522,43.4,46,32,42,21,Byng-19
Troy Brouwer,30,STL,RW,82,18,21,39,2,62,11,7,0,4,18,3,0,142,12.7,244,1393:34,16:60,65,49,57.0,52,200,40,26,
John Carlson,26,WSH,D,56,8,31,39,16,14,6,2,0,4,18,12,1,124,6.5,257,1327:17,23:42,0,0,,114,46,24,47,Byng-53
Sean Couturier,23,PHI,C,63,11,28,39,8,30,9,2,0,1,22,5,1,119,9.2,200,1171:51,18:36,537,568,48.6,30,31,27,29,"Byng-56,Selke-8"
Aleš Hemský,32,DAL,RW,75,13,26,39,3,20,12,1,0,0,22,4,0,155,8.4,265,982:49,13:06,2,4,33.3,26,25,22,36,
Elias Lindholm,21,CAR,C,82,11,28,39,-23,24,9,2,0,3,14,14,0,176,6.3,295,1485:08,18:07,213,221,49.1,45,112,33,34,
Jakob Silfverberg,25,ANA,RW,82,20,19,39,8,32,18,2,0,2,16,2,1,215,9.3,367,1391:54,16:58,4,16,20.0,58,87,44,39,Selke-35
Marc-Édouard Vlasic,28,SJS,D,67,8,31,39,15,48,6,2,0,0,21,8,2,116,6.9,280,1549:42,23:08,0,2,0.0,129,47,15,29,"ASnhl-19,Norris-20"
Eric Staal,31,2TM,C,83,13,26,39,-3,34,12,1,0,0,20,6,0,199,6.5,378,1540:04,18:33,446,396,53.0,33,74,62,39,
Eric Staal,31,CAR,C,63,10,23,33,-4,32,9,1,0,0,17,6,0,159,6.3,296,1214:59,19:17,323,278,53.7,22,55,45,32,
Eric Staal,31,NYR,C,20,3,3,6,1,2,3,0,0,0,3,0,0,40,7.5,82,325:05,16:15,123,118,51.0,11,19,17,7,
Carl Hagelin,27,2TM,LW,80,14,25,39,8,32,14,0,0,6,23,0,2,178,7.9,297,1256:33,15:42,6,8,42.9,33,84,30,35,Selke-29
Carl Hagelin,27,ANA,LW,43,4,8,12,-10,14,4,0,0,0,8,0,0,82,4.9,145,645:06,15:00,3,4,42.9,19,40,15,17,
Carl Hagelin,27,PIT,LW,37,10,17,27,18,18,10,0,0,6,15,0,2,96,10.4,152,611:27,16:32,3,4,42.9,14,44,15,18,
Jamie McGinn,27,2TM,LW,84,22,17,39,-7,33,13,9,0,5,14,3,0,156,14.1,244,1200:35,14:18,4,3,57.1,27,164,18,19,
Jamie McGinn,27,BUF,LW,63,14,13,27,-10,10,8,6,0,3,10,3,0,109,12.8,172,892:21,14:10,2,1,66.7,19,113,15,12,
Jamie McGinn,27,ANA,LW,21,8,4,12,3,23,5,3,0,2,4,0,0,47,17.0,72,308:14,14:41,2,2,50.0,8,51,3,7,
André Burakovsky,20,WSH,LW,79,17,21,38,4,12,17,0,0,1,17,4,0,126,13.5,238,1028:56,13:01,17,20,45.9,24,37,34,30,Byng-70
Mike Cammalleri,33,NJD,LW,42,14,24,38,15,18,11,3,0,1,17,7,0,101,13.9,153,809:43,19:17,7,7,50.0,13,15,19,24,
Nikolaj Ehlers,19,WPG,RW,72,15,23,38,3,21,11,4,0,0,16,7,0,167,9.0,304,1159:16,16:06,0,2,0.0,25,29,20,37,
Jannik Hansen,29,VAN,RW,67,22,16,38,16,32,20,1,1,5,16,0,0,117,18.8,190,1101:05,16:26,6,15,28.6,19,39,25,24,
Tyler Johnson,25,TBL,C,69,14,24,38,4,20,11,3,0,7,14,10,0,167,8.4,292,1182:37,17:08,479,507,48.6,25,46,19,31,Selke-43
Drew Stafford,30,WPG,RW,78,21,17,38,-23,28,14,6,1,6,12,3,2,187,11.2,289,1394:06,17:52,51,50,50.5,15,59,30,34,
Sami Vatanen,24,ANA,D,71,9,29,38,8,20,5,4,0,2,14,15,0,140,6.4,298,1513:17,21:19,0,0,,105,85,34,54,Byng-46
Antoine Vermette,33,ARI,C,76,17,21,38,-14,93,10,6,1,2,11,10,0,123,13.8,191,1264:55,16:39,754,597,55.8,57,55,27,33,
Kris Versteeg,29,2TM,RW,77,15,23,38,0,45,13,2,0,4,16,7,0,156,9.6,288,1184:52,15:23,8,8,50.0,32,20,38,38,
Kris Versteeg,29,CAR,RW,63,11,22,33,-6,36,9,2,0,2,15,7,0,136,8.1,248,1032:20,16:23,6,7,46.2,30,17,37,36,
Kris Versteeg,29,LAK,RW,14,4,1,5,6,9,4,0,0,2,1,0,0,20,20.0,40,152:32,10:54,2,1,66.7,2,3,1,2,
Matt Beleskey,27,BOS,LW,80,15,22,37,6,65,12,3,0,1,18,4,0,168,8.9,362,1268:33,15:51,6,19,24.0,44,260,27,26,
Zdeno Chára,38,BOS,D,80,9,28,37,12,71,8,1,0,3,17,9,2,158,5.7,312,1927:45,24:06,0,1,0.0,123,134,23,87,
Robby Fabbri,20,STL,C,72,18,19,37,-2,25,16,2,0,3,13,6,0,114,15.8,193,958:41,13:19,6,9,40.0,9,51,27,20,
Justin Faulk,23,CAR,D,64,16,21,37,-22,27,4,12,0,4,16,5,0,184,8.7,395,1538:51,24:03,0,1,0.0,65,109,45,42,ASG
Nick Foligno,28,CBJ,LW,72,12,25,37,-14,53,12,0,0,2,12,13,0,149,8.1,244,1216:12,16:54,83,93,47.2,46,152,27,25,
Alex Goligoski,30,DAL,D,82,5,32,37,21,34,4,1,0,1,27,4,1,127,3.9,298,1954:22,23:50,0,0,,159,100,18,73,
Alex Pietrangelo,26,STL,D,73,7,30,37,10,20,6,1,0,1,25,4,1,182,3.8,319,1920:15,26:18,0,0,,136,48,41,39,"ASnhl-21,Byng-23"
Tobias Rieder,23,ARI,RW,82,14,23,37,-21,10,12,2,0,1,16,6,1,189,7.4,348,1419:03,17:18,10,19,34.5,43,54,31,11,Byng-56
Craig Smith,26,NSH,RW,82,21,16,37,4,40,19,2,0,6,13,3,0,199,10.6,347,1245:09,15:11,76,154,33.0,18,84,42,44,
Sam Bennett,19,CGY,C,77,18,18,36,-11,37,15,3,0,2,13,5,0,136,13.2,240,1166:15,15:09,160,187,46.1,32,110,34,27,
Blake Comeau,29,COL,LW,81,12,24,36,-9,58,8,2,2,3,18,6,0,142,8.5,251,1427:48,17:38,276,290,48.8,35,173,31,25,
Logan Couture,26,SJS,C,52,15,21,36,2,20,10,5,0,4,11,10,0,137,10.9,257,904:08,17:23,271,305,47.0,38,29,39,36,
Joonas Donskoi,23,SJS,RW,76,11,25,36,4,20,8,3,0,1,20,5,0,107,10.3,189,1075:39,14:09,2,1,66.7,46,31,33,37,
Aaron Ekblad,19,FLA,D,78,15,21,36,18,41,12,3,0,4,15,6,0,182,8.2,324,1690:49,21:41,0,0,,59,87,24,41,"ASG,ASnhl-17,Norris-16"
Kevin Hayes,23,NYR,RW,79,14,22,36,4,30,11,3,0,3,19,3,0,133,10.5,245,1079:22,13:40,137,244,36.0,23,59,24,42,
Leo Komarov,29,TOR,C,67,19,17,36,-12,40,14,4,1,2,14,3,0,130,14.6,217,1194:57,17:50,62,65,48.8,27,283,42,16,ASG
Anders Lee,25,NYI,LW,80,15,21,36,-2,51,7,8,0,3,15,6,0,183,8.2,282,1166:07,14:35,1,5,16.7,31,164,32,21,
Rick Nash,31,NYR,LW,60,15,21,36,8,30,11,4,0,4,18,2,1,183,8.2,320,1016:22,16:56,0,1,0.0,24,69,45,40,
Tanner Pearson,23,LAK,LW,79,15,21,36,11,18,13,2,0,4,19,2,0,137,10.9,265,1142:23,14:28,8,17,32.0,34,104,27,18,
Jason Pominville,33,MIN,RW,75,11,25,36,10,12,8,3,0,2,18,7,0,187,5.9,285,1227:17,16:22,37,45,45.1,31,31,21,22,Byng-38
Benoît Pouliot,29,EDM,LW,55,14,22,36,-6,30,8,5,1,0,18,4,0,109,12.8,174,882:43,16:03,20,29,40.8,25,35,32,29,
Morgan Rielly,21,TOR,D,82,9,27,36,-17,28,6,2,1,0,21,6,0,167,5.4,423,1904:37,23:14,0,0,,122,58,35,72,
Zack Smith,27,OTT,C,81,25,11,36,16,80,16,4,5,4,9,1,1,121,20.7,220,1247:23,15:24,380,349,52.1,26,175,33,26,Selke-43
Michael Stone,25,ARI,D,75,6,30,36,-10,62,6,0,0,1,16,14,0,161,3.7,364,1686:41,22:29,0,2,0.0,143,137,15,20,
David Perron,27,2TM,LW,71,12,24,36,-1,62,8,4,0,1,16,8,0,147,8.2,240,1080:06,15:13,2,8,20.0,23,142,22,20,
David Perron,27,PIT,LW,43,4,12,16,-13,28,3,1,0,0,8,4,0,96,4.2,152,665:24,15:28,1,4,20.0,14,105,15,16,
David Perron,27,ANA,LW,28,8,12,20,12,34,5,3,0,1,8,4,0,51,15.7,88,414:42,14:49,1,4,20.0,9,37,7,4,
Tyler Bozak,29,TOR,C,57,12,23,35,-9,18,9,3,0,1,16,7,0,99,12.1,183,988:28,17:20,597,462,56.4,24,46,33,18,
Cody Eakin,24,DAL,C,82,16,19,35,3,42,11,2,3,1,16,2,1,132,12.1,230,1342:11,16:22,567,621,47.7,47,98,42,46,
Mattias Ekholm,25,NSH,D,82,8,27,35,14,44,6,1,1,3,22,4,1,114,7.0,245,1659:49,20:15,0,0,,106,67,26,54,
Mike Green,30,DET,D,74,7,28,35,-6,38,2,5,0,0,13,15,0,124,5.6,255,1462:52,19:46,0,2,0.0,71,106,18,40,
Evander Kane,24,BUF,LW,65,20,15,35,-14,91,17,2,1,3,11,4,0,271,7.4,472,1367:25,21:02,62,62,50.0,23,171,37,37,
Vladislav Namestnikov,23,TBL,C,80,14,21,35,17,45,13,1,0,2,18,3,0,106,13.2,177,1129:16,14:07,175,216,44.8,33,49,15,18,
Teuvo Teräväinen,21,CHI,C,78,13,22,35,-2,20,11,2,0,3,14,7,1,136,9.6,245,1196:54,15:21,125,184,40.5,31,24,35,25,
Alex Tanguay,36,2TM,LW,70,8,27,35,8,32,7,1,0,1,18,8,1,71,11.3,124,1105:20,15:47,3,2,60.0,36,22,27,17,
Alex Tanguay,36,COL,LW,52,4,18,22,3,24,4,0,0,0,12,5,1,49,8.2,86,832:30,16:01,1,2,33.3,26,14,16,13,
Alex Tanguay,36,ARI,LW,18,4,9,13,5,8,3,1,0,1,6,3,0,22,18.2,38,272:50,15:09,2,0,100.0,10,8,11,4,
François Beauchemin,35,COL,D,82,8,26,34,-7,38,6,2,0,2,15,9,2,127,6.3,264,2056:33,25:05,0,0,,256,78,31,41,Norris-20
Nick Bjugstad,23,FLA,C,67,15,19,34,-8,41,9,6,0,3,10,9,0,171,8.8,274,1039:10,15:31,449,419,51.7,28,87,25,26,
Erik Haula,24,MIN,C,76,14,20,34,21,24,12,0,2,2,17,1,2,99,14.1,163,967:16,12:44,416,365,53.3,55,57,34,13,
Jori Lehterä,28,STL,C,79,9,25,34,12,38,8,1,0,3,17,8,0,83,10.8,140,1270:32,16:05,485,484,50.1,26,43,29,19,Selke-43
Ryan McDonagh,26,NYR,D,73,9,25,34,26,22,7,2,0,0,17,7,1,113,8.0,262,1631:43,22:21,1,0,100.0,138,98,31,67,"ASG,ASnhl-14,Byng-56,Norris-15"
Ryan Nugent-Hopkins,22,EDM,C,55,12,22,34,-9,18,8,4,0,1,15,7,0,108,11.1,214,1048:26,19:04,369,454,44.8,36,39,43,30,
Andrew Shaw,24,CHI,RW,78,14,20,34,11,69,10,4,0,2,16,4,0,153,9.2,275,1142:47,14:39,146,168,46.5,21,148,21,23,
Anton Strålman,29,TBL,D,73,9,25,34,16,20,8,1,0,0,14,11,0,127,7.1,247,1611:40,22:05,0,0,,73,99,26,35,"ASnhl-21,Byng-56,Norris-20"
Brian Gionta,37,BUF,RW,79,12,21,33,-5,12,11,1,0,2,16,5,0,169,7.1,275,1400:52,17:44,54,66,45.0,36,46,31,21,Byng-56
Marián Hossa,37,CHI,RW,64,13,20,33,10,24,8,2,3,2,12,7,1,191,6.8,307,1104:44,17:16,0,2,0.0,33,37,44,25,Selke-40
Colton Parayko,22,STL,D,79,9,24,33,28,29,6,3,0,3,20,4,0,165,5.5,350,1531:34,19:23,0,0,,122,102,33,21,"AR-1,Calder-8"
Josh Bailey,26,NYI,RW,81,12,20,32,-7,22,8,4,0,2,19,1,0,105,11.4,190,1283:48,15:51,14,20,41.2,25,45,41,49,
Andrew Cogliano,28,ANA,LW,82,9,23,32,2,28,7,0,2,3,22,0,1,131,6.9,231,1183:24,14:26,6,11,35.3,27,124,26,34,"Byng-38,Selke-23"
Matt Cullen,39,PIT,C,82,16,16,32,5,20,13,0,3,4,13,0,3,118,13.6,183,1138:11,13:53,582,462,55.7,41,40,19,20,"Byng-12,Selke-34"
Ryan Ellis,25,NSH,D,79,10,22,32,13,35,6,3,1,2,18,4,0,152,6.6,297,1650:59,20:54,0,0,,100,61,24,23,
Michael Frolík,27,CGY,RW,64,15,17,32,1,24,13,0,2,4,14,1,2,155,9.7,269,1011:46,15:49,5,5,50.0,44,49,27,21,
Matt Niskanen,29,WSH,D,82,5,27,32,10,38,3,2,0,3,13,14,0,150,3.3,335,2022:15,24:40,0,0,,145,157,34,62,
Dion Phaneuf,30,2TM,D,71,4,28,32,-7,90,4,0,0,0,17,9,2,144,2.8,358,1586:37,22:21,0,0,,89,168,19,35,
Dion Phaneuf,30,TOR,D,51,3,21,24,-4,67,3,0,0,0,14,7,0,116,2.6,268,1123:17,22:02,0,0,,62,120,17,26,
Dion Phaneuf,30,OTT,D,20,1,7,8,-3,23,1,0,0,0,3,2,2,28,3.6,90,463:20,23:10,0,0,,27,48,2,9,
Brian Campbell,36,FLA,D,82,6,25,31,31,26,5,0,1,1,17,8,0,99,6.1,199,1826:47,22:17,0,0,,80,27,23,54,"ASnhl-14,Byng-69,Norris-17"
Valtteri Filppula,31,TBL,C,76,8,23,31,-6,46,6,1,1,2,16,7,0,101,7.9,163,1387:31,18:15,632,584,52.0,25,30,30,37,
Jake Gardiner,25,TOR,D,79,7,24,31,-15,32,6,1,0,2,12,11,1,122,5.7,320,1629:03,20:37,2,0,100.0,67,87,33,74,
Alec Martinez,28,LAK,D,78,10,21,31,16,40,6,4,0,4,11,9,1,124,8.1,313,1649:45,21:09,0,0,,182,164,8,60,
Michael Raffl,27,PHI,LW,82,13,18,31,9,30,12,1,0,4,17,1,0,132,9.8,239,1172:33,14:18,33,49,40.2,34,135,31,22,
Brad Richardson,30,ARI,RW,82,11,20,31,8,46,11,0,0,3,20,0,0,117,9.4,209,1280:58,15:37,523,438,54.4,53,57,26,15,
Seth Jones,21,2TM,D,81,3,28,31,-14,22,2,1,0,0,15,12,1,157,1.9,344,1788:12,22:05,0,0,,118,86,25,69,
Seth Jones,21,NSH,D,40,1,10,11,-5,10,1,0,0,0,6,4,0,74,1.4,153,785:42,19:39,0,0,,42,33,9,32,
Seth Jones,21,CBJ,D,41,2,18,20,-9,12,1,1,0,0,9,8,1,83,2.4,191,1002:30,24:27,0,0,,76,53,16,37,
Jesper Fast,24,NYR,RW,79,10,20,30,9,18,10,0,0,3,20,0,0,75,13.3,141,1180:07,14:56,1,5,16.7,55,109,35,18,Selke-43
Calle Järnkrok,24,NSH,C,81,16,14,30,1,14,12,3,1,4,13,1,0,125,12.8,193,1306:58,16:08,366,433,45.8,24,35,32,19,
Andrej Sekera,29,EDM,D,81,6,24,30,-15,12,4,2,0,2,11,12,1,155,3.9,378,1768:49,21:50,0,0,,156,60,37,82,Byng-56
Kyle Turris,26,OTT,C,57,13,17,30,-15,32,10,3,0,2,11,5,1,122,10.7,225,1122:34,19:42,536,508,51.3,31,44,16,24,
Nick Bonino,27,PIT,C,63,9,20,29,13,31,6,2,1,0,20,0,0,97,9.3,167,997:51,15:50,463,455,50.4,67,22,32,17,
Casey Cizikas,24,NYI,C,80,8,21,29,4,31,7,0,1,4,20,0,2,84,9.5,150,1014:33,12:41,469,490,48.9,62,158,58,23,Selke-43
David Desharnais,29,MTL,C,65,11,18,29,-6,20,8,3,0,4,16,2,0,90,12.2,142,1040:11,16:00,391,412,48.7,25,31,27,22,
Jimmy Hayes,26,BOS,RW,75,13,16,29,-12,60,10,3,0,0,14,2,0,127,10.2,185,1036:59,13:50,42,70,37.5,15,128,25,28,
Mattias Janmark,23,DAL,C,73,15,14,29,12,16,14,0,1,3,13,1,0,108,13.9,212,1034:33,14:10,94,166,36.2,21,4,26,36,
Valeri Nichushkin,20,DAL,RW,79,9,20,29,2,12,8,1,0,1,19,1,0,139,6.5,246,1100:36,13:56,0,1,0.0,33,68,33,46,
Dmitry Orlov,24,WSH,D,82,8,21,29,8,26,8,0,0,3,19,2,0,90,8.9,198,1314:10,16:02,0,0,,61,121,37,41,
Antoine Roussel,26,DAL,LW,80,13,16,29,11,123,13,0,0,6,14,1,1,111,11.7,202,1108:34,13:51,15,20,42.9,58,123,30,24,
Jared Spurgeon,26,MIN,D,77,11,18,29,11,14,6,5,0,2,7,8,3,122,9.0,247,1746:10,22:41,0,0,,157,51,19,22,Byng-15
James van Riemsdyk,26,TOR,LW,40,14,15,29,3,6,9,5,0,0,11,4,0,129,10.9,228,710:31,17:46,1,1,50.0,7,52,29,13,
Brandon Pirri,24,2TM,C,61,14,15,29,-4,30,11,3,0,3,8,7,0,128,10.9,271,885:30,14:31,66,77,46.2,14,66,20,26,
Brandon Pirri,24,FLA,C,52,11,13,24,-4,30,8,3,0,2,8,5,0,111,9.9,235,770:55,14:50,66,75,46.8,11,55,18,21,
Brandon Pirri,24,ANA,C,9,3,2,5,0,0,3,0,0,1,0,2,0,17,17.6,36,114:35,12:44,0,2,0.0,3,11,2,5,
Sven Baertschi,23,VAN,LW,69,15,13,28,-14,14,13,2,0,1,8,5,0,108,13.9,188,928:37,13:27,0,1,0.0,36,30,26,22,
Dustin Brown,31,LAK,RW,82,11,17,28,-5,30,9,2,0,0,15,1,1,218,5.0,375,1326:13,16:10,8,9,47.1,20,234,40,31,
Ryan Callahan,30,TBL,RW,73,10,18,28,-5,45,8,2,0,1,16,2,0,156,6.4,284,1258:22,17:14,21,15,58.3,71,164,34,23,
Cam Fowler,24,ANA,D,69,5,23,28,-8,27,2,3,0,0,9,14,0,113,4.4,251,1571:52,22:47,0,0,,112,43,17,32,
Oscar Lindberg,24,NYR,C,68,13,15,28,12,43,12,1,0,2,13,2,0,114,11.4,179,828:01,12:11,134,143,48.4,36,132,16,14,
Hampus Lindholm,22,ANA,D,80,10,18,28,7,40,5,4,1,1,7,11,0,149,6.7,316,1760:09,22:00,0,0,,115,68,18,65,"ASnhl-21,Norris-17"
Brad Richards,35,DET,C,68,10,18,28,4,8,6,4,0,1,8,10,0,164,6.1,307,1006:01,14:48,124,126,49.6,12,16,15,22,Byng-22
Ryan Strome,22,NYI,RW,71,8,20,28,-9,28,7,1,0,0,17,3,0,132,6.1,220,1111:42,15:39,39,56,41.1,19,77,35,38,
Trevor Daley,32,2TM,D,82,6,22,28,9,34,5,1,0,0,14,8,0,130,4.6,273,1512:11,18:26,0,1,0.0,79,42,17,28,
Trevor Daley,32,CHI,D,29,0,6,6,1,8,0,0,0,0,4,2,0,43,0.0,101,428:00,14:46,0,1,0.0,19,19,3,11,
Trevor Daley,32,PIT,D,53,6,16,22,8,26,5,1,0,0,10,6,0,87,6.9,172,1084:11,20:27,0,0,,60,23,14,17,
Shawn Matthias,27,2TM,C,71,12,16,28,-17,20,12,0,0,2,15,0,1,101,11.9,160,959:25,13:31,9,15,37.5,39,68,34,12,
Shawn Matthias,27,TOR,C,51,6,11,17,-10,12,6,0,0,1,10,0,1,66,9.1,109,663:30,13:01,5,11,31.3,23,60,21,8,
Shawn Matthias,27,COL,C,20,6,5,11,-7,8,6,0,0,1,5,0,0,35,17.1,51,295:55,14:48,4,4,50.0,16,8,13,4,
Mikhail Grigorenko,21,COL,C,74,6,21,27,2,8,5,1,0,0,18,3,0,84,7.1,143,981:44,13:16,150,199,43.0,39,23,21,18,Byng-70
Peter Holland,25,TOR,C,65,9,18,27,-16,28,4,5,0,1,12,6,0,138,6.5,238,953:17,14:40,216,249,46.5,19,78,34,21,
Erik Johnson,27,COL,D,73,11,16,27,-19,50,6,3,2,0,12,3,1,175,6.3,307,1711:18,23:27,0,1,0.0,197,126,30,45,
Tyler Myers,25,WPG,D,73,9,18,27,6,72,9,0,0,0,15,2,1,140,6.4,288,1651:08,22:37,0,1,0.0,95,54,45,47,
Radim Vrbata,34,VAN,RW,63,13,14,27,-30,12,8,5,0,0,10,4,0,199,6.5,332,1010:59,16:03,4,10,28.6,12,15,20,27,
Dale Weise,27,2TM,RW,71,14,13,27,4,24,11,3,0,1,10,3,0,136,10.3,220,952:27,13:25,16,19,45.7,26,127,18,16,
Dale Weise,27,MTL,RW,56,14,12,26,0,22,11,3,0,1,9,3,0,117,12.0,191,803:16,14:21,15,15,50.0,23,108,17,13,
Dale Weise,27,CHI,RW,15,0,1,1,4,2,0,0,0,0,1,0,0,19,0.0,29,149:11,9:57,1,4,20.0,3,19,1,3,
Pat Maroon,27,2TM,LW,72,12,15,27,-7,88,7,5,0,1,12,3,0,104,11.5,168,888:22,12:20,17,36,32.1,10,151,10,30,
Pat Maroon,27,ANA,LW,56,4,9,13,-13,54,1,3,0,0,8,1,0,65,6.2,111,637:28,11:23,16,33,32.7,2,114,5,22,
Pat Maroon,27,EDM,LW,16,8,6,14,6,34,6,2,0,1,4,2,0,39,20.5,57,250:54,15:41,1,3,25.0,8,37,5,8,
Cody Ceci,22,OTT,D,75,10,16,26,9,18,10,0,0,2,14,2,0,116,8.6,232,1447:31,19:18,0,0,,130,70,15,41,
Mathew Dumba,21,MIN,D,81,10,16,26,1,38,4,6,0,3,10,6,0,152,6.6,328,1364:05,16:50,0,0,,56,83,13,44,
Lars Eller,26,MTL,C,79,13,13,26,-13,28,11,1,1,2,13,0,0,149,8.7,275,1205:19,15:15,207,202,50.6,36,111,46,25,
Darren Helm,29,DET,C,77,13,13,26,-2,32,13,0,0,3,13,0,0,165,7.9,291,1160:15,15:04,39,38,50.6,26,115,22,16,
Kevin Klein,31,NYR,D,69,9,17,26,16,19,9,0,0,4,16,1,0,69,13.0,154,1406:32,20:23,0,0,,155,117,20,45,Byng-70
Niklas Kronwall,35,DET,D,64,3,23,26,-21,30,3,0,0,2,9,14,0,61,4.9,144,1408:36,22:01,0,0,,81,93,9,23,
David Pastrňák,19,BOS,RW,51,15,11,26,3,20,15,0,0,2,10,1,0,108,13.9,174,711:12,13:57,0,3,0.0,15,52,35,51,
Matt Read,29,PHI,RW,79,11,15,26,-5,27,9,2,0,2,10,5,0,127,8.7,215,1205:00,15:15,24,26,48.0,60,81,34,20,
Johnny Boychuk,32,NYI,D,70,9,16,25,17,31,8,1,0,1,12,4,0,165,5.5,361,1495:41,21:22,0,0,,140,149,21,47,
Brett Connolly,23,BOS,RW,71,9,16,25,-1,20,7,2,0,2,13,3,0,95,9.5,171,920:14,12:58,14,17,45.2,36,137,11,20,
Mikhail Grabovski,32,NYI,C,58,9,16,25,3,33,8,1,0,2,14,2,0,83,10.8,158,817:59,14:06,221,242,47.7,26,28,28,34,
Ben Hutton,22,VAN,D,75,1,24,25,-21,14,1,0,0,0,17,7,0,104,1.0,237,1490:30,19:52,0,0,,100,42,30,53,Byng-70
Mark Letestu,30,EDM,C,82,10,15,25,-21,10,5,3,2,0,5,9,1,107,9.3,198,1294:02,15:47,596,566,51.3,33,68,28,29,
Ryan Murray,22,CBJ,D,82,4,21,25,-10,40,3,1,0,0,11,10,0,90,4.4,198,1873:23,22:51,0,0,,171,51,17,39,
David Savard,25,CBJ,D,65,4,21,25,-7,45,3,1,0,0,16,4,1,122,3.3,258,1506:13,23:10,0,0,,111,122,14,14,
Riley Sheahan,24,DET,C,81,14,11,25,-8,12,10,3,1,2,10,1,0,128,10.9,199,1233:42,15:14,358,424,45.8,40,72,20,21,
Tomáš Fleischmann,31,2TM,LW,76,14,11,25,-8,32,13,0,1,3,10,1,0,123,11.4,213,1156:14,15:13,24,19,55.8,19,40,38,16,
Tomáš Fleischmann,31,MTL,LW,57,10,10,20,-1,28,9,0,1,3,9,1,0,100,10.0,169,886:39,15:33,12,14,46.2,16,30,33,11,
Tomáš Fleischmann,31,CHI,LW,19,4,1,5,-7,4,4,0,0,0,1,0,0,23,17.4,44,269:35,14:11,12,5,70.6,3,10,5,5,
Devante Smith-Pelly,23,2TM,RW,64,14,11,25,-3,30,14,0,0,5,10,1,0,94,14.9,150,786:43,12:18,2,3,40.0,23,105,7,18,
Devante Smith-Pelly,23,MTL,RW,46,6,6,12,-2,22,6,0,0,3,6,0,0,60,10.0,99,506:19,11:00,0,2,0.0,15,85,6,15,
Devante Smith-Pelly,23,NJD,RW,18,8,5,13,-1,8,8,0,0,2,4,1,0,34,23.5,51,280:24,15:35,2,1,66.7,8,20,1,3,
Zach Bogosian,25,BUF,D,64,7,17,24,-11,68,4,3,0,1,13,3,1,121,5.8,218,1430:15,22:21,0,0,,98,86,17,21,
Brad Boyes,33,TOR,RW,60,8,16,24,-6,12,6,2,0,1,13,3,0,85,9.4,169,718:13,11:58,9,5,64.3,17,20,25,19,
Dan Boyle,39,NYR,D,74,10,14,24,0,30,7,3,0,0,7,7,0,95,10.5,192,1392:16,18:49,0,0,,105,66,19,47,
Matt Calvert,26,CBJ,LW,73,11,13,24,1,51,10,1,0,1,13,0,0,114,9.6,192,1104:21,15:08,7,7,50.0,46,91,36,10,
Niklas Hjalmarsson,28,CHI,D,81,2,22,24,13,32,2,0,0,0,17,2,3,77,2.6,184,1812:38,22:23,0,0,,151,32,31,65,
